Fold,Mean_RR,SDNN,RMSSD,Mean_HR,Resp_Rate,Resp_Variability,HRV_HR_Ratio,Resp_Regularity,Autonomic_Index
1,0.06527029499232476,0.13402791045353465,0.221011405905051,0.06553328528584225,0.06727579125799807,0.11594872070276963,0.15256247543425203,0.10851282913420454,0.06985728683402302
2,0.08121589685753172,0.12326110908353524,0.19987459605699825,0.07382281724730015,0.06361626951547736,0.12230332557235576,0.1343475562110203,0.12468979398138384,0.07686863547439732
3,0.08653627150332864,0.0910536366818499,0.14900569912668366,0.08094436976857199,0.07086233339478745,0.16499896157908156,0.10074217589081975,0.1810092042406194,0.0748473478142576
4,0.07078895594066549,0.12517396897571317,0.20245981448013048,0.07591240995440388,0.06312707189538397,0.12929392652959715,0.13581027983836394,0.13003376039151832,0.06739981199422375
5,0.0742224403281258,0.13170400416372816,0.14469963164475247,0.08341373144799397,0.08014430934492177,0.14827359249946537,0.10513187348069303,0.1618729018337722,0.07053751525654736
