Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7944444444444444,0.8,0.43636363636363634,0.5647058823529412,0.8487272727272727
SVM (RBF Kernel),0.8055555555555556,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.8558545454545454
Random Forest,0.7944444444444444,0.725,0.5272727272727272,0.6105263157894737,0.8659636363636363
